season,round,race_id,lap_number,driver_id,position,lap_time
2025,1,2025_1,19,hamilton,8,1:32.914
2025,1,2025_1,19,gasly,9,1:32.462
2025,1,2025_1,19,alonso,10,1:32.280
2025,1,2025_1,19,stroll,11,1:32.684
2025,1,2025_1,19,antonelli,12,1:31.942
2025,1,2025_1,19,hulkenberg,13,1:33.520
2025,1,2025_1,19,bortoleto,14,1:33.906
2025,1,2025_1,19,lawson,15,1:34.695
2025,1,2025_1,19,ocon,16,1:36.266
2025,1,2025_1,19,bearman,17,1:34.065
2025,1,2025_1,20,norris,1,1:30.710
2025,1,2025_1,20,piastri,2,1:30.159
2025,1,2025_1,20,max_verstappen,3,1:31.598
2025,1,2025_1,20,russell,4,1:31.315
2025,1,2025_1,20,leclerc,5,1:31.756
2025,1,2025_1,20,tsunoda,6,1:32.549
2025,1,2025_1,20,albon,7,1:32.356
2025,1,2025_1,20,hamilton,8,1:32.341
2025,1,2025_1,20,gasly,9,1:32.327
2025,1,2025_1,20,alonso,10,1:32.610
2025,1,2025_1,20,stroll,11,1:32.580
2025,1,2025_1,20,antonelli,12,1:31.319
2025,1,2025_1,20,hulkenberg,13,1:33.867
2025,1,2025_1,20,bortoleto,14,1:33.328
2025,1,2025_1,20,lawson,15,1:33.497
2025,1,2025_1,20,ocon,16,1:34.392
2025,1,2025_1,20,bearman,17,1:34.094
2025,1,2025_1,21,norris,1,1:30.234
2025,1,2025_1,21,piastri,2,1:29.727
2025,1,2025_1,21,max_verstappen,3,1:31.177
2025,1,2025_1,21,russell,4,1:31.127
2025,1,2025_1,21,leclerc,5,1:31.159
2025,1,2025_1,21,tsunoda,6,1:32.012
2025,1,2025_1,21,albon,7,1:32.036
2025,1,2025_1,21,hamilton,8,1:32.079
2025,1,2025_1,21,gasly,9,1:32.323
2025,1,2025_1,21,alonso,10,1:32.545
2025,1,2025_1,21,stroll,11,1:32.429
2025,1,2025_1,21,antonelli,12,1:31.042
2025,1,2025_1,21,hulkenberg,13,1:33.220
2025,1,2025_1,21,bortoleto,14,1:33.350
2025,1,2025_1,21,lawson,15,1:32.883
2025,1,2025_1,21,ocon,16,1:33.391
2025,1,2025_1,21,bearman,17,1:33.818
2025,1,2025_1,22,norris,1,1:30.300
2025,1,2025_1,22,piastri,2,1:30.214
2025,1,2025_1,22,max_verstappen,3,1:31.040
2025,1,2025_1,22,russell,4,1:31.029
2025,1,2025_1,22,leclerc,5,1:30.695
2025,1,2025_1,22,tsunoda,6,1:31.567
2025,1,2025_1,22,albon,7,1:32.053
2025,1,2025_1,22,hamilton,8,1:32.041
2025,1,2025_1,22,gasly,9,1:32.355
2025,1,2025_1,22,alonso,10,1:33.282
2025,1,2025_1,22,antonelli,11,1:31.887
2025,1,2025_1,22,stroll,12,1:34.269
2025,1,2025_1,22,hulkenberg,13,1:33.185
2025,1,2025_1,22,bortoleto,14,1:32.734
2025,1,2025_1,22,lawson,15,1:32.080
2025,1,2025_1,22,ocon,16,1:33.533
2025,1,2025_1,22,bearman,17,1:33.590
2025,1,2025_1,23,norris,1,1:29.922
2025,1,2025_1,23,piastri,2,1:29.739
2025,1,2025_1,23,max_verstappen,3,1:30.686
2025,1,2025_1,23,russell,4,1:30.975
2025,1,2025_1,23,leclerc,5,1:31.551
2025,1,2025_1,23,tsunoda,6,1:31.793
2025,1,2025_1,23,albon,7,1:31.750
2025,1,2025_1,23,hamilton,8,1:31.771
2025,1,2025_1,23,gasly,9,1:32.438
2025,1,2025_1,23,alonso,10,1:32.510
2025,1,2025_1,23,antonelli,11,1:31.324
2025,1,2025_1,23,stroll,12,1:32.643
2025,1,2025_1,23,hulkenberg,13,1:32.765
2025,1,2025_1,23,bortoleto,14,1:32.966
2025,1,2025_1,23,lawson,15,1:32.622
2025,1,2025_1,23,ocon,16,1:33.338
2025,1,2025_1,23,bearman,17,1:33.342
2025,1,2025_1,24,norris,1,1:29.687
2025,1,2025_1,24,piastri,2,1:29.626
2025,1,2025_1,24,max_verstappen,3,1:30.978
2025,1,2025_1,24,russell,4,1:30.673
2025,1,2025_1,24,leclerc,5,1:30.732
2025,1,2025_1,24,tsunoda,6,1:31.380
2025,1,2025_1,24,albon,7,1:31.868
2025,1,2025_1,24,hamilton,8,1:31.852
2025,1,2025_1,24,gasly,9,1:32.035
2025,1,2025_1,24,alonso,10,1:31.665
